Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S122971401,Green-tailed Sunbird,Aethopyga nipalensis,30528,3,IN-NL,Kiphire,L13821445,Thanamir Village,25.7771587,94.9551239,16/03/2022,7:18 am,eBird - Traveling Count,78,1,0.89,,3,,,"Alemba, Risthong, Ramya Transect-1 TVSU Reserve",
S122971931,Hill Partridge,Arborophila torqueola,1185,2,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122971931,Great Barbet,Psilopogon virens,10721,2,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122971931,Stripe-throated Yuhina,Yuhina gularis,25539,4,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122971931,Black-faced Laughingthrush,Trochalopteron affine,26455,7,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122971931,Blue-winged Minla,Actinodura cyanouroptera,26538,3,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122971931,Chestnut-tailed Minla (Bar-throated Siva),Actinodura strigula,26547,5,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122971931,Fire-tailed Sunbird,Aethopyga ignicauda,30507,2,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,22/11/2022,6:42 am,eBird - Traveling Count,76,1,1.4,,2,,,"Song Vong (Transect 3) November22a  Jona, Risthong",
S122972300,Hill Partridge,Arborophila torqueola,1185,2,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,23/11/2022,7:23 am,eBird - Traveling Count,85,1,1.4,,2,,,"Song Vong (Transect 3) November22b  Risthong, Jona",
S122972300,Great Barbet,Psilopogon virens,10721,1,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,23/11/2022,7:23 am,eBird - Traveling Count,85,1,1.4,,2,,,"Song Vong (Transect 3) November22b  Risthong, Jona",
S122972300,Stripe-throated Yuhina,Yuhina gularis,25539,4,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,23/11/2022,7:23 am,eBird - Traveling Count,85,1,1.4,,2,,,"Song Vong (Transect 3) November22b  Risthong, Jona",
S122972300,Black-faced Laughingthrush,Trochalopteron affine,26455,6,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,23/11/2022,7:23 am,eBird - Traveling Count,85,1,1.4,,2,,,"Song Vong (Transect 3) November22b  Risthong, Jona",
S122972300,Chestnut-tailed Minla (Bar-throated Siva),Actinodura strigula,26547,4,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,23/11/2022,7:23 am,eBird - Traveling Count,85,1,1.4,,2,,,"Song Vong (Transect 3) November22b  Risthong, Jona",
S122972300,Mrs. Gould's Sunbird,Aethopyga gouldiae,30522,2,IN-NL,Kiphire,L21632345,Song Vong Transect,25.7461744,95.0054771,23/11/2022,7:23 am,eBird - Traveling Count,85,1,1.4,,2,,,"Song Vong (Transect 3) November22b  Risthong, Jona",
S122972420,green-pigeon sp.,Treron sp.,2584,4,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,H,5,
S122972420,Golden-throated Barbet,Psilopogon franklinii,10756,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,H,5,
S122972420,Maroon Oriole,Oriolus traillii,19697,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,H,5,
S122972420,Ashy Drongo,Dicrurus leucophaeus,20442,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Yellow-bellied Fantail,Chelidorhynx hypoxanthus,21909,2,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Rufous-crowned Prinia,Prinia khasiana,23217,1,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Himalayan Black Bulbul,Hypsipetes leucocephalus,24591,9,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Black-crested Bulbul,Rubigula flaviventris,24639,4,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
S122972420,Crested Finchbill,Spizixos canifrons,24655,4,IN-NL,Kiphire,L21631244,Nokh Khet Chang,25.7728225,94.9629044,20/11/2022,7:30 am,eBird - Traveling Count,79,1,1,,2,,S,5,
